Design_Point,radius_1,x_1,y_1,radius_2,x_2,y_2,radius_3,x_3,y_3,Point_Turbine_Velocity,Plane_Turbine_Velocity,Ideal_Turbine_Thrust,Ideal_Turbine_Power,Ringed_Duct_Thrust
55,0.0236,0.28931,0.6469,0.02398,0.2464,0.62208,0.01411,0.31381,0.61565,1.16762,1.16126,802.535,931.951,202.6
56,0.02441,0.28011,0.64841,0.02345,0.22587,0.62034,0.01381,0.30613,0.60853,1.19772,1.20292,802.609,965.478,221.387
57,0.01368,0.285,0.6714,0.02006,0.23567,0.6642,0.01774,0.25782,0.62793,1.21175,1.24109,802.644,996.155,283.702
58,0.019,0.34543,0.65483,0.02365,0.27049,0.64407,0.01501,0.20368,0.64092,1.22176,1.24664,802.709,1000.69,249.339
59,0.01189,0.31517,0.65545,0.02291,0.24557,0.64475,0.01604,0.29192,0.60738,1.2367,1.26157,802.718,1012.68,243.345
60,0.01911,0.30711,0.61739,0.0113,0.26936,0.66832,0.02275,0.36565,0.65908,1.15455,1.15646,802.627,928.209,167.222
61,0.01897,0.33801,0.65382,0.02349,0.2718,0.64362,0.01516,0.20453,0.64038,1.24378,1.27665,802.753,1024.83,257.252
62,0.01794,0.27236,0.61217,0.01497,0.29413,0.67177,0.02098,0.37901,0.66176,1.20971,1.22111,802.661,980.136,221.511
63,0.01202,0.31393,0.65755,0.02275,0.24586,0.6454,0.01598,0.2915,0.60964,1.23224,1.25364,802.706,1006.3,240.058
64,0.01885,0.33846,0.65359,0.0239,0.27538,0.64256,0.01507,0.20432,0.63863,1.26421,1.30282,802.786,1045.89,272.879
65,0.02473,0.27482,0.64968,0.02342,0.2233,0.61941,0.01405,0.29323,0.60616,1.24296,1.27836,802.667,1026.09,280.602
66,0.01877,0.33839,0.65337,0.02374,0.27801,0.64195,0.01515,0.2018,0.63965,1.18485,1.1965,802.661,960.387,190.392
67,0.0151,0.22805,0.64606,0.02181,0.33341,0.62032,0.01539,0.38082,0.65964,1.1481,1.13125,802.635,907.981,143.286
68,0.01594,0.37334,0.65963,0.01757,0.26449,0.63317,0.02343,0.32361,0.62219,1.1312,1.11097,802.577,891.637,118.903
69,0.02452,0.27679,0.6494,0.02357,0.22922,0.61983,0.01418,0.29346,0.60801,1.29125,1.33484,802.719,1071.5,328.802
70,0.01185,0.31547,0.65539,0.0227,0.24662,0.64613,0.01631,0.28641,0.6091,1.31067,1.36427,802.806,1095.25,323.989
71,0.0119,0.3127,0.65502,0.0224,0.24436,0.64534,0.0163,0.28789,0.6089,1.2988,1.35658,802.81,1089.08,319.083
72,0.02483,0.27767,0.64908,0.02391,0.22974,0.6199,0.01397,0.29572,0.60752,1.27913,1.33076,802.716,1068.23,328.43
73,0.01189,0.31677,0.65484,0.02262,0.24424,0.64618,0.01645,0.29287,0.6097,1.23517,1.2591,802.72,1010.7,244.315
74,0.02012,0.24654,0.65357,0.0207,0.28263,0.62044,0.02355,0.17358,0.6577,1.22408,1.24876,802.639,1002.3,243.881
75,0.01899,0.33591,0.65389,0.02391,0.27408,0.64359,0.01508,0.20938,0.63837,1.24971,1.27761,802.754,1025.61,259.531
76,0.01176,0.31493,0.65516,0.02265,0.24158,0.6461,0.01598,0.28517,0.60904,1.28365,1.32593,802.774,1064.42,291.685
77,0.01356,0.28864,0.67169,0.02032,0.23867,0.66198,0.01734,0.26295,0.62777,1.14582,1.15092,802.556,923.68,181.657
78,0.01808,0.27715,0.61146,0.01586,0.2934,0.67195,0.02104,0.37758,0.66286,1.2695,1.3046,802.736,1047.25,287.598
79,0.01276,0.30732,0.66991,0.02173,0.25184,0.65036,0.01554,0.28636,0.62373,1.23595,1.26167,802.708,1012.75,258.962
80,0.01181,0.31783,0.65549,0.02226,0.24735,0.64581,0.01604,0.28475,0.608,1.32394,1.3905,802.829,1116.33,346.916
81,0.01871,0.33846,0.65381,0.02393,0.27107,0.64303,0.01504,0.20364,0.63763,1.20334,1.22574,802.703,983.907,221.146
82,0.01301,0.31176,0.67043,0.02162,0.25497,0.65004,0.01555,0.28984,0.62547,1.17419,1.17156,802.618,940.311,183.615
83,0.01734,0.32717,0.62211,0.01452,0.30539,0.66966,0.02412,0.37258,0.66318,1.11805,1.09023,802.552,874.969,117.24
84,0.01985,0.22405,0.64761,0.01321,0.27765,0.61039,0.02122,0.33552,0.66847,1.20872,1.21693,802.654,976.777,228.469
85,0.02068,0.24382,0.65401,0.02094,0.28653,0.6206,0.02361,0.17592,0.65756,1.24533,1.27734,802.687,1025.3,264.952
86,0.01191,0.31727,0.65463,0.02256,0.24682,0.64411,0.01601,0.2838,0.60996,1.28998,1.33612,802.762,1072.59,316.484
87,0.01883,0.29773,0.61561,0.01256,0.27591,0.66942,0.02222,0.36895,0.66001,1.20852,1.21643,802.673,976.392,219.015
88,0.01818,0.27941,0.61189,0.01565,0.29185,0.67205,0.02117,0.37539,0.66227,1.27423,1.31024,802.755,1051.8,286.283
89,0.02169,0.22491,0.66296,0.02224,0.31275,0.62683,0.02496,0.17861,0.63176,1.12122,1.10758,802.518,888.852,138.174
90,0.01921,0.30365,0.61561,0.01296,0.26925,0.67026,0.0225,0.36299,0.65994,1.1913,1.20479,802.676,967.054,208.743
91,0.01171,0.31205,0.65506,0.02244,0.24783,0.64746,0.01598,0.28714,0.60782,1.30858,1.37244,802.818,1101.82,337.226
92,0.01259,0.30134,0.67076,0.02175,0.24846,0.65146,0.01551,0.28236,0.6233,1.18768,1.19026,802.632,955.337,201.135
93,0.0116,0.31498,0.65676,0.02245,0.24376,0.64608,0.01633,0.2841,0.607,1.30443,1.35496,802.793,1087.76,324.207
94,0.01228,0.31573,0.65536,0.02248,0.24429,0.64694,0.01614,0.28423,0.60735,1.28693,1.34292,802.774,1078.06,309.865
95,0.0117,0.31697,0.65305,0.02245,0.24476,0.64653,0.01629,0.28329,0.6068,1.28693,1.34292,802.774,1078.06,309.865
96,0.01179,0.31621,0.65492,0.02208,0.24441,0.6479,0.0163,0.28073,0.60983,1.27628,1.31715,802.754,1057.35,289.351
97,0.0162,0.2259,0.63942,0.0202,0.3484,0.64659,0.0203,0.26208,0.62534,1.28547,1.33217,802.77,1069.43,324.401
98,0.01603,0.22247,0.63955,0.02013,0.34954,0.64678,0.02015,0.26822,0.6252,1.15548,1.15372,802.604,925.976,174.341
99,0.01925,0.34021,0.65327,0.02395,0.27482,0.64269,0.01498,0.20598,0.63903,1.25189,1.28372,802.759,1030.51,258.706
100,0.01187,0.31104,0.65492,0.02243,0.24874,0.64598,0.01618,0.27598,0.60752,1.32824,1.39944,802.802,1123.47,374.123
